"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","GENE1_INTERACTIONS_AS_BD","GENE1_INTERACTIONS_TOTAL","GENE2_INTERACTIONS_AS_AD","GENE2_INTERACTIONS_TOTAL","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress","SYMBOL_AD","SYMBOL_BD"
"6.043554006968641","11.599649374069768","0.16546555203228597","0.008064516129032258","15","32","32","35","3","35","3","false","FBgn0039627","15.1875","29","0","false","0","FBgn0039627","214152278","CG11837","CG11837"
"7.007826086956522","0.0","0.14269760516193075","0.019762845849802372","16","23","23","23",,,"0","false","FBgn0003892","27.52173913043478","23","0","false","0","FBgn0003892","0",,"ptc"
"0.0","0.0","0.0","0.0","0","1",,,"1","1","1","false","FBgn0033216","23.0","0","0","false","0","FBgn0033216","0","CG1946",
"0.0","0.0","0.0","0.020161290322580645","0","32",,,"33","33","32","false","FBgn0035325","29.5625","0","0","false","0","FBgn0035325","0","CG13806",
"0.0","0.0","0.0","0.014102564102564103","0","40",,,"43","43","40","false","FBgn0035641","26.8","0","0","false","0","FBgn0035641","0","CG5568",
"6.816131830008673","0.0","0.1467107774526021","0.006097560975609756","16","41","41","41",,,"0","false","FBgn0000063","20.926829268292682","41","0","false","0","FBgn0000063","0",,"Mps1"
"0.0","0.0","0.0","0.062169312169312166","0","28",,,"29","29","28","false","FBgn0032196","38.392857142857146","0","0","false","0","FBgn0032196","0","CG5708",
"8.048780487804878","0.31839454700064235","0.12424242424242424","0.0","16","3","2","5","3","5","2","false","FBgn0003660","6.5","1","1","false","0","FBgn0003660","6664620","Syb","Syb"
"7.049651567944251","9.178559127499554","0.141850982330409","0.05454545454545454","15","17","11","21","10","21","8","false","FBgn0013343","15.727272727272727","9","4","false","1","FBgn0013343","165328036","Syx1A","Syx1A"
"8.678632478632478","0.0","0.11522552688595628","0.0","20","2","2","2",,,"0","false","FBgn0003721","8.5","2","0","false","0","FBgn0003721","0",,"Tm1"
"7.781974248927039","0.3267437020398604","0.12850209574233398","0.0","19","8","7","8","1","8","1","false","FBgn0000711","17.75","7","0","false","0","FBgn0000711","6030306","flw","flw"
"1.3333333333333333","0.2046076235930676","0.75","0.0","2","4","3","5","2","5","2","false","FBgn0003742","20.333333333333332","2","1","false","0","FBgn0003742","2988296","tra2","tra2"
"0.0","0.0","0.0","0.0","0","2",,,"3","3","2","false","FBgn0004587","3.0","0","0","false","0","FBgn0004587","0","B52",
"2.4","0.6845883554903699","0.4166666666666667","0.0","5","20","4","20","16","20","16","false","FBgn0003748","15.38888888888889","4","2","false","0","FBgn0003748","24411443","Treh","Treh"
"0.0","0.0","0.0","0.0","0","4",,,"4","4","4","false","FBgn0020445","24.25","0","0","false","0","FBgn0020445","0","E23",
"3.35","0.004041087811607358","0.29850746268656714","0.0","6","3","1","3","2","3","2","false","FBgn0035588","17.0","1","1","false","0","FBgn0035588","47280","CG10672","CG10672"
